iter	Passed	Remaining
422	2195	2994
423	2200	2989
424	2205	2984
425	2211	2979
426	2216	2974
427	2221	2969
428	2226	2964
429	2232	2958
430	2237	2953
431	2242	2948
432	2247	2942
433	2252	2937
434	2257	2932
435	2262	2927
436	2268	2922
437	2273	2916
438	2278	2911
439	2283	2905
440	2287	2900
441	2293	2894
442	2298	2889
443	2303	2884
444	2308	2879
445	2313	2874
446	2319	2869
447	2324	2864
448	2329	2859
449	2335	2853
450	2340	2848
451	2345	2843
452	2350	2838
453	2355	2833
454	2361	2828
455	2366	2822
456	2371	2817
457	2376	2812
458	2382	2807
459	2387	2802
460	2392	2797
461	2397	2792
462	2402	2786
463	2407	2781
464	2413	2776
465	2418	2771
466	2423	2766
467	2429	2761
468	2434	2756
469	2439	2751
470	2444	2745
471	2449	2740
472	2455	2735
473	2460	2730
474	2465	2725
475	2470	2719
476	2475	2714
477	2480	2709
478	2485	2703
479	2491	2698
480	2496	2693
481	2501	2687
482	2506	2682
483	2511	2677
484	2516	2672
485	2521	2666
486	2526	2661
487	2531	2656
488	2536	2650
489	2541	2645
490	2547	2640
491	2552	2635
492	2557	2630
493	2562	2625
494	2568	2619
495	2573	2614
496	2578	2609
497	2583	2604
498	2589	2599
499	2594	2594
500	2599	2589
501	2604	2584
502	2609	2578
503	2615	2573
504	2620	2568
505	2625	2563
506	2630	2558
507	2635	2552
508	2640	2547
509	2646	2542
510	2651	2536
511	2656	2531
512	2661	2526
513	2666	2520
514	2671	2515
515	2676	2510
516	2681	2504
517	2686	2499
518	2691	2494
519	2696	2489
520	2701	2483
521	2706	2478
522	2711	2473
523	2716	2467
524	2722	2462
525	2727	2457
526	2732	2452
527	2737	2447
528	2743	2442
529	2748	2437
530	2753	2431
531	2758	2426
532	2763	2421
533	2768	2416
534	2774	2411
535	2779	2406
536	2784	2400
537	2789	2395
538	2795	2390
539	2800	2385
540	2805	2380
541	2810	2374
542	2815	2369
543	2820	2364
544	2825	2358
545	2830	2353
546	2835	2348
547	2840	2343
548	2846	2338
549	2851	2332
550	2856	2327
551	2861	2322
552	2867	2317
553	2871	2312
554	2877	2306
555	2881	2301
556	2886	2295
557	2892	2290
558	2897	2285
559	2902	2280
560	2907	2275
561	2913	2270
562	2918	2265
563	2923	2260
564	2928	2255
565	2933	2249
566	2939	2244
567	2944	2239
568	2949	2234
569	2954	2228
570	2959	2223
571	2964	2218
572	2970	2213
573	2975	2208
574	2980	2203
575	2985	2197
576	2990	2192
577	2995	2187
578	3000	2182
579	3006	2176
580	3011	2171
581	3016	2166
582	3021	2161
583	3027	2156
584	3032	2151
585	3037	2145
586	3042	2140
587	3046	2134
588	3051	2129
589	3056	2124
590	3062	2119
591	3067	2113
592	3072	2108
593	3077	2103
594	3082	2098
595	3087	2093
596	3092	2087
597	3097	2082
598	3103	2077
599	3108	2072
600	3113	2067
601	3118	2061
602	3123	2056
603	3128	2051
604	3132	2045
605	3137	2040
606	3143	2034
607	3148	2029
608	3152	2024
609	3157	2018
610	3162	2013
611	3167	2007
612	3171	2002
613	3175	1996
614	3179	1990
615	3184	1985
616	3189	1979
617	3194	1974
618	3199	1969
619	3204	1963
620	3208	1957
621	3213	1952
622	3218	1947
623	3223	1942
624	3229	1937
625	3234	1932
626	3239	1927
627	3244	1921
628	3249	1916
629	3254	1911
630	3259	1906
631	3264	1900
632	3267	1894
633	3272	1888
634	3277	1883
635	3282	1878
636	3287	1873
637	3292	1868
638	3297	1862
639	3302	1857
640	3307	1852
641	3312	1847
642	3317	1842
643	3323	1837
644	3328	1831
645	3333	1826
646	3338	1821
647	3343	1816
648	3349	1811
649	3354	1806
650	3359	1801
651	3364	1795
652	3370	1790
653	3375	1785
654	3380	1780
655	3385	1775
656	3390	1769
657	3395	1764
658	3400	1759
659	3405	1754
660	3410	1749
661	3416	1744
662	3420	1738
663	3424	1732
664	3430	1727
665	3435	1722
666	3440	1717
667	3445	1712
668	3451	1707
669	3456	1702
670	3461	1697
671	3466	1692
672	3471	1686
673	3475	1681
674	3481	1676
675	3486	1670
676	3491	1665
677	3496	1660
678	3501	1655
679	3506	1649
680	3511	1644
681	3515	1639
682	3520	1633
683	3524	1628
684	3528	1622
685	3533	1617
686	3538	1611
687	3542	1606
688	3547	1601
689	3552	1596
690	3557	1590
691	3562	1585
692	3567	1580
693	3573	1575
694	3578	1570
695	3583	1565
696	3588	1559
697	3592	1554
698	3596	1548
699	3602	1543
700	3606	1538
701	3610	1532
702	3615	1527
703	3619	1521
704	3623	1516
705	3628	1510
706	3632	1505
707	3636	1499
708	3640	1494
709	3645	1488
710	3649	1483
711	3653	1477
712	3658	1472
713	3662	1467
714	3667	1461
715	3671	1456
716	3675	1450
717	3679	1445
718	3683	1439
719	3689	1434
720	3694	1429
721	3698	1424
722	3703	1418
723	3708	1413
724	3714	1408
725	3719	1403
726	3724	1398
727	3728	1393
728	3733	1388
729	3738	1382
730	3742	1377
731	3746	1371
732	3751	1366
733	3756	1361
734	3760	1355
735	3764	1350
736	3768	1344
737	3773	1339
738	3777	1334
739	3781	1328
740	3785	1323
741	3790	1317
742	3794	1312
743	3799	1307
744	3803	1301
745	3808	1296
746	3813	1291
747	3818	1286
748	3822	1281
749	3827	1275
750	3831	1270
751	3835	1265
752	3840	1259
753	3844	1254
754	3848	1248
755	3852	1243
756	3857	1238
757	3861	1232
758	3865	1227
759	3870	1222
760	3874	1216
761	3878	1211
762	3882	1205
763	3886	1200
764	3891	1195
765	3895	1189
766	3899	1184
767	3903	1179
768	3908	1173
