iter	Logloss
0	0.6412761338
1	0.5930071556
2	0.5441258913
3	0.5038385428
4	0.4679045091
5	0.4341057584
6	0.4036500839
7	0.3760860784
8	0.3498979694
9	0.3249487242
10	0.3042599183
11	0.2836545127
12	0.2659854075
13	0.2494327402
14	0.2347550682
15	0.220652394
16	0.2079170888
17	0.1960856646
18	0.1854574542
19	0.1751908355
20	0.1653630206
21	0.1563167794
22	0.1484561738
23	0.1408869952
24	0.1323533249
25	0.1258949191
26	0.1192300458
27	0.1143296946
28	0.1096071784
29	0.1051323658
30	0.1011660084
31	0.09755693956
32	0.09399791091
33	0.09136508877
34	0.08792337316
35	0.08470274221
36	0.08205629968
37	0.07955856619
38	0.07743160351
39	0.07502610378
40	0.0726633257
41	0.06993721373
42	0.06880187001
43	0.06680485379
44	0.06501316993
45	0.06308197081
46	0.06204237451
47	0.06059590842
48	0.05960852363
49	0.0581504802
50	0.05717409536
51	0.05634272823
52	0.05528054971
53	0.05398145037
54	0.05335970406
55	0.05267954798
56	0.05135584309
57	0.0503692923
58	0.04970767674
59	0.04858444332
60	0.04725258101
61	0.04682699798
62	0.04649671824
63	0.04587041699
64	0.04542935311
65	0.04437220328
66	0.04389062366
67	0.04331809336
68	0.04251472207
69	0.04209554458
70	0.04150441455
71	0.04087398771
72	0.04047096223
73	0.03991291347
74	0.0396826696
75	0.03929073783
76	0.03893946244
77	0.03838457697
78	0.03764861676
79	0.03725192032
80	0.03697843169
81	0.03653918386
82	0.03624825027
83	0.03573387807
84	0.0354231431
85	0.03503031071
86	0.03471903536
87	0.03440803883
88	0.03398137999
89	0.03358310931
90	0.03329127264
91	0.03311912764
92	0.03278976085
93	0.03252005238
94	0.03220637619
95	0.03195240766
96	0.03146110377
97	0.03119326316
98	0.03090811084
99	0.03075121723
100	0.03051757566
101	0.03022915148
102	0.02991280303
103	0.02960507096
104	0.0293701315
105	0.02905114533
106	0.02883447497
107	0.02862583373
108	0.02843025277
109	0.02820864994
110	0.02800042324
111	0.02774578356
112	0.02740970528
113	0.02723674108
114	0.02704363745
115	0.02688822678
116	0.02675114443
117	0.02624552679
118	0.02607686584
119	0.02589448581
120	0.02567684573
121	0.02549373533
122	0.02531638645
123	0.02518031082
124	0.02500464722
125	0.02480996195
126	0.02436780004
127	0.0242249611
128	0.02410446009
129	0.02394507434
130	0.0237928393
131	0.02349041227
132	0.02329744188
133	0.02317882109
134	0.02302814795
135	0.02290315616
136	0.02274886818
137	0.02243072095
138	0.0223266039
139	0.02216322333
140	0.02197397388
141	0.0218199746
142	0.02164373114
143	0.0215182804
144	0.0213684388
145	0.02112931946
146	0.0209917905
147	0.02082258671
148	0.02068357727
149	0.02054554617
150	0.02034531034
151	0.02019562666
152	0.0200253631
153	0.01987004989
154	0.01970907016
155	0.01959909165
156	0.01946196365
157	0.01914000419
158	0.01895236352
159	0.01872159161
160	0.01847742878
161	0.01834117919
162	0.01816049183
163	0.01803945909
164	0.01794447412
165	0.0177921231
166	0.01768505003
167	0.01757537995
168	0.01732395167
169	0.01718938489
170	0.01710152965
171	0.01702201814
172	0.01688544531
173	0.01679474385
174	0.01666906981
175	0.01659859538
176	0.01641042051
177	0.0163352764
178	0.01620763579
179	0.0159296058
180	0.0158329047
181	0.01573622828
182	0.01567092195
183	0.0154848987
184	0.01539542727
185	0.01532793353
186	0.0151879038
187	0.01510663051
188	0.01502506483
189	0.01493971653
